number,czech,selected_files,source,species_or_taxon,rejected_reason,confidence
122,Jeřáb,images/122-jerab/01.jpg | images/122-jerab/02.jpg | images/122-jerab/03.jpg,Wikimedia Commons curated species search,Sorbus aucuparia | Sorbus aucuparia | Sorbus aucuparia,File:Half geopende bladknop van een lijsterbes (Sorbus) 29-03-2026. (d.j.b).jpg (title lacks curated species); File:2020 year. Herbarium. Sorbus aucuparia. img-033.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-034.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-035.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-037.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-036.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-005.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-038.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-015.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-016.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-006.jpg (blocked title term); File:2020 year. Herbarium. Sorbus aucuparia. img-014.jpg (blocked title term),high
123,Jasan,images/123-jasan/01.jpg | images/123-jasan/02.jpg | images/123-jasan/03.jpg,Wikimedia Commons curated species search,Fraxinus excelsior | Fraxinus excelsior | Fraxinus excelsior,File:Petřín tower 05 2018.jpg (title lacks curated species),high
124,Olše,images/124-olse/01.jpg | images/124-olse/02.jpg | images/124-olse/03.jpg,Wikimedia Commons curated species search,Alnus glutinosa | Alnus glutinosa | Alnus glutinosa,"File:Black alder twig and water ripples at Wolfsberger Mühle, 2019-06-29.jpg (title lacks curated species)",high
125,Vrba,images/125-vrba/01.jpg | images/125-vrba/02.jpg | images/125-vrba/03.jpg,Wikimedia Commons curated species search,Salix caprea / Salix alba | Salix caprea / Salix alba | Salix caprea / Salix alba,File:Pussy Willow Stem 2000px.jpg (title lacks curated species),high
126,Trnovník,images/126-trnovnik/01.jpg | images/126-trnovnik/02.jpg | images/126-trnovnik/03.jpg,Wikimedia Commons curated species search,Robinia pseudoacacia | Robinia pseudoacacia | Robinia pseudoacacia,,high
127,Topol,images/127-topol/01.jpg | images/127-topol/02.jpg | images/127-topol/03.jpg,Wikimedia Commons curated species search,Populus tremula / Populus nigra | Populus tremula / Populus nigra | Populus tremula / Populus nigra,File:2020 year. Herbarium. Populus tremula. img-070.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-026.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-019.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-053.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-018.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-058.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-054.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-017.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-020.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-004.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-069.jpg (blocked title term); File:2020 year. Herbarium. Populus tremula. img-025.jpg (blocked title term),high
128,Ořešák,images/128-oresak/01.jpg | images/128-oresak/02.jpg | images/128-oresak/03.jpg,Wikimedia Commons curated species search,Juglans regia | Juglans regia | Juglans regia,,high
129,Smrk,images/129-smrk/01.jpg | images/129-smrk/02.jpg | images/129-smrk/03.jpg,Wikimedia Commons curated species search,Picea abies | Picea abies | Picea abies,File:Kuusk Keila-Paldiski rdt ääres.jpg (title lacks curated species); File:2020 year. Herbarium. Picea abies. img-001.jpg (blocked title term); File:2020 year. Herbarium. Picea abies. img-003.jpg (blocked title term); File:2020 year. Herbarium. Picea abies. img-002.jpg (blocked title term),high
130,Borovice,images/130-borovice/01.jpg | images/130-borovice/02.jpg | images/130-borovice/03.jpg,Wikimedia Commons curated species search,Pinus sylvestris | Pinus sylvestris | Pinus sylvestris,"File:Pine log cross-sections, Teutendorf, 2016-09-17.jpg (title lacks curated species); File:Wandeling over het Hulshorsterzand-Hulshorsterheide 07-03-2020. (d.j.b) 20.jpg (title lacks curated species); File:Delleboersterheide, natuurgebied van het It Fryske Gea. 05-02-2025. (actm.) 11.jpg (title lacks curated species); File:Delleboersterheide, natuurgebied van het It Fryske Gea. 25-12-2019. (actm.) 10.jpg (title lacks curated species); File:Meenikunno maastikukaiteala.jpg (title lacks curated species); File:Wandeling over het Hulshorsterzand-Hulshorsterheide 14.jpg (title lacks curated species)",high
131,Modřín,images/131-modrin/01.jpg | images/131-modrin/02.jpg | images/131-modrin/03.jpg,Wikimedia Commons curated species search,Larix decidua | Larix decidua | Larix decidua,"File:L'A de Bran, (1798 m) Val d'Anniviers. Europese larix (Larix decidua) 01.JPG (cultivar-style quoted name)",high
132,Jedle,images/132-jedle/01.jpg | images/132-jedle/02.jpg | images/132-jedle/03.jpg,Wikimedia Commons curated species search,Abies alba | Abies alba | Abies alba,,high
133,Tis,images/133-tis/01.jpg | images/133-tis/02.jpg | images/133-tis/03.jpg,Wikimedia Commons curated species search,Taxus baccata | Taxus baccata | Taxus baccata,File:Taxus uitgezaaid in een knotwilg. 28-07-2019. (d.j.b). 08.jpg (title lacks curated species),high
134,Jalovec,images/134-jalovec/01.jpg | images/134-jalovec/02.jpg | images/134-jalovec/03.jpg,Wikimedia Commons curated species search,Juniperus communis | Juniperus communis | Juniperus communis,File:Branched juniper twig with shots.jpg (title lacks curated species); File:Young juniper needles.jpg (title lacks curated species); File:Juniper twig with shots.jpg (title lacks curated species); File:Young juniper needles and shots.jpg (title lacks curated species),high
